Name,Coach_ID,Team,Season,League,Matches,Expectation,Result,Difference
Aleksandr Kerzhakov,Aleksandr Kerzhakov-NIZ-2122,FK Nizhny Novgorod,2122,RUS-Premier League,29,35.6824,33,-2.6824
Aleksandr Khatskevich,Aleksandr Khatskevich-ROT-2021,Rotor Volgograd,2021,RUS-Premier League,22,30.2436,24.16215,-6.08145
Aleksandr Kulchiy,Aleksandr Kulchiy-DINA-2021,Dinamo Moskva,2021,RUS-Premier League,1,42.77335,42.77335,0
Aleksandr Storozhuk,Aleksandr Storozhuk-KRA-2122,FK Krasnodar,2122,RUS-Premier League,11,50.1258,50,-0.1258
Aleksandr Tochilin,Aleksandr Tochilin-SCH-1920,FK Sochi,1920,RUS-Premier League,13,27.9518,28.90605,0.95425
Aleksey Berezutskiy,Aleksey Berezutskiy-CSKA-2122,CSKA Moskva,2122,RUS-Premier League,29,47.6664,50,2.3336
Aleksey Shpilevski,Aleksey Shpilevski-ERZ-2122,Erzgebirge Aue,2122,GER-Bundesliga 2,6,35.56265,30.876,-4.68665
Aleksey Stukalov,Aleksey Stukalov-UFA-2021,FK Ufa,2021,RUS-Premier League,6,20.9789,25,4.0211
Aleksey Stukalov,Aleksey Stukalov-UFA-2122,FK Ufa,2122,RUS-Premier League,29,30.2542,30,-0.2542
Alessandro Agostini,Alessandro Agostini-CAG-2122,Cagliari Calcio,2122,ITA-Serie A,3,31.0269,30,-1.0269
Alessandro Dal Canto,Alessandro Dal Canto-LVO-1920,AS Livorno,1920,ITA-Serie B,4,21,21,0
Alessandro Nesta,Alessandro Nesta-FRO-1920,Frosinone Calcio,1920,ITA-Serie B,35,60.09505,54,-6.09505
Alessandro Nesta,Alessandro Nesta-FRO-2021,Frosinone Calcio,2021,ITA-Serie B,26,54.1367,48.93,-5.2067
Alessandro Nesta,Alessandro Nesta-PER-1819,AC Perugia Calcio,1819,ITA-Serie B,35,51.73685,50,-1.73685
Alessio Dionisi,Alessio Dionisi-EMP-1920,Empoli FC,1920,ITA-Serie B,3,54,54,0
Alessio Dionisi,Alessio Dionisi-EMP-2021,Empoli FC,2021,ITA-Serie B,35,57.03395,73,15.96605
Alessio Dionisi,Alessio Dionisi-SAS-2122,Sassuolo Calcio,2122,ITA-Serie A,34,55.6384,50,-5.6384
Alessio Dionisi,Alessio Dionisi-VEN-1920,Venezia FC,1920,ITA-Serie B,33,45.0549,50,4.9451
Alessio Lisci,Alessio Lisci-LEV-2122,Levante UD,2122,ESP-La Liga,24,32.4218,35,2.5782
Alex Dyer,Alex Dyer-KILM-1920,Kilmarnock FC,1920,SCO-premiership,12,48.20925,45.54095,-2.6683
Alex Dyer,Alex Dyer-KILM-2021,Kilmarnock FC,2021,SCO-premiership,24,49.01675,41.7801,-7.23665
Alex Morris,Alex Morris-CREW-2122,Crewe Alexandra,2122,ENG-League One,6,27.7524,29,1.2476
Alex Neil,Alex Neil-PNE-1819,Preston North End,1819,ENG-Championship,33,53.6863,61,7.3137
Alex Neil,Alex Neil-PNE-1920,Preston North End,1920,ENG-Championship,37,54.4865,66,11.5135
Alex Neil,Alex Neil-PNE-2021,Preston North End,2021,ENG-Championship,27,61.4871,52.22965,-9.25745
Alex Neil,Alex Neil-SUN-2122,Sunderland AFC,2122,ENG-League One,14,76.77655,84,7.22345
Alex Pastoor,Alex Pastoor-SCR-1819,SCR Altach,1819,AUS-Bundesliga,11,24.2171,28,3.7829
Alex Pastoor,Alex Pastoor-SCR-1920,SCR Altach,1920,AUS-Bundesliga,29,27.30335,26,-1.30335
Alex Pastoor,Alex Pastoor-SCR-2021,SCR Altach,2021,AUS-Bundesliga,19,26.9074,20.23865,-6.66875
Alex Revell,Alex Revell-STEV-1920,Stevenage FC,1920,ENG-League Two,7,34.64055,22,-12.64055
Alex Revell,Alex Revell-STEV-2021,Stevenage FC,2021,ENG-League Two,37,53.9993,60,6.0007
Alex Revell,Alex Revell-STEV-2122,Stevenage FC,2122,ENG-League Two,14,63.09245,44.94715,-18.1453
Alexander Blessin,Alexander Blessin-GEN-2122,Genoa CFC,2122,ITA-Serie A,16,25.39445,28,2.60555
Alexander Blessin,Alexander Blessin-KVO-2021,KV Oostende,2021,BEL-First Division,30,31.22825,53.9535,22.72525
Alexander Blessin,Alexander Blessin-KVO-2122,KV Oostende,2122,BEL-First Division,19,47.04605,36.0234,-11.02265
Alexander Nouri,Alexander Nouri-HER-1920,Hertha BSC,1920,GER-Bundesliga,5,40.03595,36.88535,-3.1506
Alexander Nouri,Alexander Nouri-ING-1819,FC Ingolstadt 04,1819,GER-Bundesliga 2,8,42.4537,32.9646,-9.4891
Alexander Schmidt,Alexander Schmidt-DRES-2122,Dynamo Dresden,2122,GER-Bundesliga 2,23,41.806,36.8001,-5.0059
Alexander Schmidt,Alexander Schmidt-SKN-1920,SKN St. Pölten,1920,AUS-Bundesliga,21,21.1359,18.4511,-2.6848
Alexander Zorniger,Alexander Zorniger-BRO-1819,Brøndby IF,1819,DEN-Superligaen,12,55.681,52.4111,-3.2699
Alexis,Alexis-BET-1920,Real Betis,1920,ESP-La Liga,5,45.5867,41,-4.5867
Alfred Schreuder,Alfred Schreuder-CBKV-2122,Club Brugge KV,2122,BEL-First Division,11,65.18875,71.1437,5.95495
Alfred Schreuder,Alfred Schreuder-HOF-1920,1899 Hoffenheim,1920,GER-Bundesliga,31,53.4994,47.25745,-6.24195
Alfredo Aglietti,Alfredo Aglietti-CVO-1920,Chievo Verona,1920,ITA-Serie B,12,53.3064,56,2.6936
Alfredo Aglietti,Alfredo Aglietti-CVO-2021,Chievo Verona,2021,ITA-Serie B,35,51.93105,56,4.06895
Alfredo Aglietti,Alfredo Aglietti-HEL-1819,Hellas Verona,1819,ITA-Serie B,6,50.60775,52,1.39225
Alfredo Aglietti,Alfredo Aglietti-REG-2122,Reggina 1914,2122,ITA-Serie B,15,48.34655,44.97615,-3.3704
Ali Ravcı,Ali Ravcı-MAL-1819,Yeni Malatyaspor,1819,TUR-Super Lig,4,48.87725,47,-1.87725
Ali Ravcı,Ali Ravcı-MAL-1920,Yeni Malatyaspor,1920,TUR-Super Lig,1,47.67745,47.67745,0
Ali Tandoğan,Ali Tandoğan-DZL-2021,Denizlispor,2021,TUR-Super Lig,5,32.2324,28,-4.2324
Alois Schwartz,Alois Schwartz-KAR-1920,Karlsruher SC,1920,GER-Bundesliga 2,18,45.17925,37.3091,-7.87015
Alois Schwartz,Alois Schwartz-SVS-2122,SV Sandhausen,2122,GER-Bundesliga 2,27,35.5562,41,5.4438
Alper Kelkitli,Alper Kelkitli-KAY-2021,Kayserispor,2021,TUR-Super Lig,2,35.9539,37.94545,1.99155
Amir Azrafshan,Amir Azrafshan-OFK-2021,Östersunds FK,2021,SWE-Allvenskan,20,30.05625,33,2.94375
Amir Azrafshan,Amir Azrafshan-OFK-2122,Östersunds FK,2122,SWE-Allvenskan,16,29.4496,19.5424,-9.9072
Anders Torstensson,Anders Torstensson-MJA-2122,Mjällby AIF,2122,SWE-Allvenskan,15,30.14745,38,7.85255
Andrea Mandorlini,Andrea Mandorlini-CRE-1819,US Cremonese,1819,ITA-Serie B,5,49.9333,45.8424,-4.0909
Andrea Pirlo,Andrea Pirlo-JUV-1920,Juventus,1920,ITA-Serie A,1,83,83,0
Andrea Pirlo,Andrea Pirlo-JUV-2021,Juventus,2021,ITA-Serie A,34,74.6744,78,3.3256
Andrea Soncin,Andrea Soncin-VEN-2122,Venezia FC,2122,ITA-Serie A,5,26.4353,27,0.5647
Andrea Sottil,Andrea Sottil-ASC-2021,Ascoli Calcio,2021,ITA-Serie B,22,32.6817,44,11.3183
Andrea Sottil,Andrea Sottil-ASC-2122,Ascoli Calcio,2122,ITA-Serie B,35,46.15675,65,18.84325
Andrea Sottil,Andrea Sottil-PES-1920,Pescara Calcio,1920,ITA-Serie B,7,46.0938,45,-1.0938
Andreas Alm,Andreas Alm-BKH-1819,BK Häcken,1819,SWE-Allvenskan,11,51.7938,53,1.2062
Andreas Alm,Andreas Alm-BKH-1920,BK Häcken,1920,SWE-Allvenskan,34,54.94605,49,-5.94605
Andreas Alm,Andreas Alm-BKH-2021,BK Häcken,2021,SWE-Allvenskan,25,47.98,49,1.02
Andreas Alm,Andreas Alm-BKH-2122,BK Häcken,2122,SWE-Allvenskan,7,46.6019,39.23165,-7.37025
