Name,Coach_ID,Team,Season,League,Matches,Expectation,Result,Difference
Fran Fernández,Fran Fernández-ALM-1819,UD Almería,1819,ESP-La Liga 2,39,52.73745,60,7.26255
Fran Fernández,Fran Fernández-TEN-1920,CD Tenerife,1920,ESP-La Liga 2,3,55,55,0
Fran Fernández,Fran Fernández-TEN-2021,CD Tenerife,2021,ESP-La Liga 2,11,55.6969,51.57805,-4.11885
Francesco Baldini,Francesco Baldini-TRAP-1920,Trapani Calcio,1920,ITA-Serie B,15,39.70635,36.1332,-3.57315
Francesco Baldini,Francesco Baldini-VIC-2122,Vicenza Virtus,2122,ITA-Serie B,8,29.3542,34,4.6458
Francesco Farioli,Francesco Farioli-ALA-2122,Alanyaspor,2122,TUR-Super Lig,18,53.23175,64,10.76825
Francesco Farioli,Francesco Farioli-FAI-2122,Fatih Karagümrük SK,2122,TUR-Super Lig,16,50.678,50.38545,-0.29255
Francesco Farioli,Francesco Farioli-FAT-2021,Fatih Karagümrük SK,2021,TUR-Super Lig,7,58.48535,60,1.51465
Francesco Modesto,Francesco Modesto-CRO-2122,FC Crotone,2122,ITA-Serie B,30,55.17835,26,-29.17835
Francisco,Francisco-ELC-2122,Elche CF,2122,ESP-La Liga,24,36.00365,42,5.99635
Francisco,Francisco-GIR-1920,Girona FC,1920,ESP-La Liga 2,7,60.6327,63,2.3673
Francisco,Francisco-GIR-2021,Girona FC,2021,ESP-La Liga 2,40,63.87625,71,7.12375
Francisco,Francisco-HUE-1819,SD Huesca,1819,ESP-La Liga,28,35.5757,33,-2.5757
Franck Haise,Franck Haise-LNS-1920,RC Lens,1920,FRA-Ligue 2,2,69.20745,70.218,1.01055
Franck Haise,Franck Haise-LNS-2021,RC Lens,2021,FRA-Ligue 1,35,44.04085,57,12.95915
Franck Haise,Franck Haise-LNS-2122,RC Lens,2122,FRA-Ligue 1,36,51.0848,62,10.9152
Franck Passi,Franck Passi-NIO-1920,Chamois Niortais,1920,FRA-Ligue 2,9,35.806,35.9508,0.1448
Francky Dury,Francky Dury-ZUL-1819,SV Zulte Waregem,1819,BEL-First Division,21,27.74155,33.06365,5.3221
Francky Dury,Francky Dury-ZUL-1920,SV Zulte Waregem,1920,BEL-First Division,27,31.49125,37.1834,5.69215
Francky Dury,Francky Dury-ZUL-2021,SV Zulte Waregem,2021,BEL-First Division,30,40.9975,47.2956,6.2981
Francky Dury,Francky Dury-ZUL-2122,SV Zulte Waregem,2122,BEL-First Division,16,41.73865,33.63005,-8.1086
Frank Bunn,Frank Bunn-OLD-1819,Oldham Athletic,1819,ENG-League Two,12,83.27765,66.0682,-17.20945
Frank Kramer,Frank Kramer-DSC-2021,Arminia Bielefeld,2021,GER-Bundesliga,11,28.54705,35,6.45295
Frank Kramer,Frank Kramer-DSC-2122,Arminia Bielefeld,2122,GER-Bundesliga,31,35.96205,29.41825,-6.5438
Frank Lampard,Frank Lampard-CHA-1920,Chelsea FC,1920,FRA-Ligue 2,26,47.84215,45.92525,-1.9169
Frank Lampard,Frank Lampard-CHA-2021,Chelsea FC,2021,FRA-Ligue 2,18,41.12925,41.1069,-0.02235
Frank Lampard,Frank Lampard-CHE-1920,Chelsea FC,1920,ENG-Premier League,41,68.98595,66,-2.98595
Frank Lampard,Frank Lampard-CHE-2021,Chelsea FC,2021,ENG-Premier League,18,69.179,63.4377,-5.7413
Frank Lampard,Frank Lampard-DER-1819,Derby County,1819,ENG-Championship,33,63.29155,74,10.70845
Frank Lampard,Frank Lampard-EVE-2122,Everton FC,2122,ENG-Premier League,16,37.45785,39,1.54215
Frank Schmidt,Frank Schmidt-FCH-1819,1. FC Heidenheim 1846,1819,GER-Bundesliga 2,28,42.625,55,12.375
Frank Schmidt,Frank Schmidt-FCH-1920,1. FC Heidenheim 1846,1920,GER-Bundesliga 2,32,48.4338,55,6.5662
Frank Schmidt,Frank Schmidt-FCH-2021,1. FC Heidenheim 1846,2021,GER-Bundesliga 2,33,45.97155,51,5.02845
Frank Schmidt,Frank Schmidt-FCH-2122,1. FC Heidenheim 1846,2122,GER-Bundesliga 2,33,45.87065,52,6.12935
Frank Vercauteren,Frank Vercauteren-ANT-2021,Royal Antwerp FC,2021,BEL-First Division,15,56.4006,58.52625,2.12565
Frank Vercauteren,Frank Vercauteren-RSCA-1920,RSC Anderlecht,1920,BEL-First Division,18,42.659,44.68085,2.02185
Frank Wormuth,Frank Wormuth-HER-1819,Heracles Almelo,1819,NED-Eredivisie,29,47.71415,48,0.28585
Frank Wormuth,Frank Wormuth-HER-1920,Heracles Almelo,1920,NED-Eredivisie,26,35.5623,45.9742,10.4119
Frank Wormuth,Frank Wormuth-HER-2021,Heracles Almelo,2021,NED-Eredivisie,33,44.4905,44,-0.4905
Frank Wormuth,Frank Wormuth-HER-2122,Heracles Almelo,2122,NED-Eredivisie,34,40.9648,34,-6.9648
Frankie McAvoy,Frankie McAvoy-PNE-2021,Preston North End,2021,ENG-Championship,8,54.85285,61,6.14715
Frankie McAvoy,Frankie McAvoy-PNE-2122,Preston North End,2122,ENG-Championship,16,56.58415,59.5506,2.96645
Franz Ponweiser,Franz Ponweiser-MAT-1920,SV Mattersburg,1920,AUS-Bundesliga,28,25.81375,21,-4.81375
Fred Grim,Fred Grim-WIL-2122,Willem II,2122,NED-Eredivisie,25,39.60355,29.86915,-9.7344
Fred Grim,Fred Grim-WLW-1920,RKC Waalwijk,1920,NED-Eredivisie,26,36.3689,21.8712,-14.4977
Fred Grim,Fred Grim-WLW-2021,RKC Waalwijk,2021,NED-Eredivisie,33,32.89675,30,-2.89675
Fred Rutten,Fred Rutten-RSCA-1819,RSC Anderlecht,1819,BEL-First Division,8,45.62225,49.6274,4.00515
Freddie Ljungberg,Freddie Ljungberg-ARS-1920,Arsenal FC,1920,ENG-Premier League,3,52.47685,50.61765,-1.8592
Friedhelm Funkel,Friedhelm Funkel-COL-2021,1. FC Köln,2021,GER-Bundesliga,7,30.42995,33,2.57005
Friedhelm Funkel,Friedhelm Funkel-F95-1819,Fortuna Düsseldorf,1819,GER-Bundesliga,30,36.06955,44,7.93045
Friedhelm Funkel,Friedhelm Funkel-F95-1920,Fortuna Düsseldorf,1920,GER-Bundesliga,19,39.40195,29.60855,-9.7934
Frédéric Antonetti,Frédéric Antonetti-MTZ-1819,FC Metz,1819,FRA-Ligue 2,29,80.7971,81,0.2029
Frédéric Antonetti,Frédéric Antonetti-MTZ-2021,FC Metz,2021,FRA-Ligue 1,29,46.54825,47,0.45175
Frédéric Antonetti,Frédéric Antonetti-MTZ-2122,FC Metz,2122,FRA-Ligue 1,36,44.0083,31,-13.0083
Frédéric Bompard,Frédéric Bompard-GUI-2021,EA Guingamp,2021,FRA-Ligue 2,15,41.2023,47,5.7977
Frédéric Gueguen,Frédéric Gueguen-GRE-2122,Grenoble Foot 38,2122,FRA-Ligue 2,1,45.70745,45.70745,0
Frédéric Zago,Frédéric Zago-BAS-2122,SC Bastia,2122,FRA-Ligue 2,2,41.17385,38.7144,-2.45945
Fuat Çapa,Fuat Çapa-ANK-1920,MKE Ankaragücü,1920,TUR-Super Lig,1,32,32,0
Fuat Çapa,Fuat Çapa-ANK-2021,MKE Ankaragücü,2021,TUR-Super Lig,9,42.87655,35.4773,-7.39925
Fuat Çapa,Fuat Çapa-KAS-1920,Kasımpaşa SK,1920,TUR-Super Lig,14,30.6574,43,12.3426
Fuat Çapa,Fuat Çapa-KAS-2021,Kasımpaşa SK,2021,TUR-Super Lig,17,57.2992,42.21745,-15.08175
Gabriele Cioffi,Gabriele Cioffi-CRAW-1819,Crawley Town,1819,ENG-League Two,34,62.78505,53,-9.78505
Gabriele Cioffi,Gabriele Cioffi-CRAW-1920,Crawley Town,1920,ENG-League Two,17,49.235,51.4672,2.2322
Gabriele Cioffi,Gabriele Cioffi-UDI-2122,Udinese Calcio,2122,ITA-Serie A,21,42.2325,47,4.7675
Gallego,Gallego-ESP-1920,Espanyol Barcelona,1920,ESP-La Liga,8,49.1641,38.5656,-10.5985
Gallego,Gallego-GIJ-1920,Sporting Gijón,1920,ESP-La Liga 2,3,54,54,0
Gallego,Gallego-GIJ-2021,Sporting Gijón,2021,ESP-La Liga 2,40,57.18695,65,7.81305
Gallego,Gallego-GIJ-2122,Sporting Gijón,2122,ESP-La Liga 2,28,60.79285,52.77065,-8.0222
García Pimienta,García Pimienta-PAL-2122,UD Las Palmas,2122,ESP-La Liga 2,22,61.1791,70,8.8209
Gareth Ainsworth,Gareth Ainsworth-WYC-1819,Wycombe Wanderers,1819,ENG-League One,34,53.6013,53,-0.6013
Gareth Ainsworth,Gareth Ainsworth-WYC-1920,Wycombe Wanderers,1920,ENG-League One,34,56.3974,59,2.6026
Gareth Ainsworth,Gareth Ainsworth-WYC-2021,Wycombe Wanderers,2021,ENG-Championship,35,48.9483,43,-5.9483
Gareth Ainsworth,Gareth Ainsworth-WYC-2122,Wycombe Wanderers,2122,ENG-League One,40,65.95515,83,17.04485
Garitano,Garitano-BIL-1819,Athletic Bilbao,1819,ESP-La Liga,22,42.69425,53,10.30575
Garitano,Garitano-BIL-1920,Athletic Bilbao,1920,ESP-La Liga,35,51.85155,51,-0.85155
Garitano,Garitano-BIL-2021,Athletic Bilbao,2021,ESP-La Liga,15,45.50975,47.6424,2.13265
Garitano,Garitano-EIB-2122,SD Eibar,2122,ESP-La Liga 2,45,59.2439,80,20.7561
Garry Monk,Garry Monk-BIR-1819,Birmingham City,1819,ENG-Championship,33,57.8131,52,-5.8131
Garry Monk,Garry Monk-SHW-1920,Sheffield Wednesday,1920,ENG-Championship,32,62.89275,56,-6.89275
Garry Monk,Garry Monk-SHW-2021,Sheffield Wednesday,2021,ENG-Championship,9,58.61375,41.6991,-16.91465
Gary Bowyer,Gary Bowyer-BRAD-1819,Bradford City,1819,ENG-League One,13,44.1079,41,-3.1079
Gary Bowyer,Gary Bowyer-BRAD-1920,Bradford City,1920,ENG-League Two,26,80.9737,69.89135,-11.08235
Gary Bowyer,Gary Bowyer-SAL-2021,Salford City,2021,ENG-League Two,10,68.52465,71,2.47535
Gary Bowyer,Gary Bowyer-SAL-2122,Salford City,2122,ENG-League Two,42,82.37395,70,-12.37395
Gary Holt,Gary Holt-LIV-1819,Livingston FC,1819,SCO-premiership,29,52.3126,44,-8.3126
Gary Holt,Gary Holt-LIV-1920,Livingston FC,1920,SCO-premiership,27,40.7992,48.6289,7.8297
Gary Holt,Gary Holt-LIV-2021,Livingston FC,2021,SCO-premiership,16,49.0566,40.2021,-8.8545
Gary McSheffrey,Gary McSheffrey-DON-2122,Doncaster Rovers,2122,ENG-League One,24,36.5053,38,1.4947
Gary Rowett,Gary Rowett-MIL-1920,Millwall FC,1920,ENG-Championship,28,57.99945,68,10.00055
Gary Rowett,Gary Rowett-MIL-2021,Millwall FC,2021,ENG-Championship,35,62.62465,62,-0.62465
Gary Rowett,Gary Rowett-MIL-2122,Millwall FC,2122,ENG-Championship,39,60.25485,69,8.74515
Gary Rowett,Gary Rowett-STK-1819,Stoke City,1819,ENG-Championship,14,73.98735,64.58985,-9.3975
Gary Waddock,Gary Waddock-SOUT-1920,Southend United,1920,ENG-League One,6,36.037,31.51045,-4.52655
Gaute Helstrup,Gaute Helstrup-TRO-1920,Tromsø IL,1920,NOR-Eliteserien,2,30,30,0
Gaute Helstrup,Gaute Helstrup-TRO-2122,Tromsø IL,2122,NOR-Eliteserien,30,29.49935,35,5.50065
Gavin Skelton,Gavin Skelton-CAR-1920,Carlisle United,1920,ENG-League Two,1,50.7156,50.7156,0
Gavin Skelton,Gavin Skelton-CAR-2122,Carlisle United,2122,ENG-League Two,2,47.6944,46.78825,-0.90615
Geir Bakke,Geir Bakke-LIL-1920,Lillestrøm SK,1920,NOR-Eliteserien,2,30,30,0
Geir Bakke,Geir Bakke-LIL-2122,Lillestrøm SK,2122,NOR-Eliteserien,30,34.0848,49,14.9152
Geir Bakke,Geir Bakke-SAR-1819,Sarpsborg 08,1819,NOR-Eliteserien,10,42.3573,41,-1.3573
Geir Bakke,Geir Bakke-SAR-1920,Sarpsborg 08,1920,NOR-Eliteserien,32,46.02175,30,-16.02175
Gennaro Gattuso,Gennaro Gattuso-MIL-1819,AC Milan,1819,ITA-Serie A,32,64.0727,68,3.9273
Gennaro Gattuso,Gennaro Gattuso-NAP-1920,SSC Napoli,1920,ITA-Serie A,22,63.40215,62,-1.40215
Gennaro Gattuso,Gennaro Gattuso-NAP-2021,SSC Napoli,2021,ITA-Serie A,34,68.5048,77,8.4952
Gennaro Volpe,Gennaro Volpe-VIR-2021,Virtus Entella,2021,ITA-Serie B,8,26.5572,23,-3.5572
Gerald Baumgartner,Gerald Baumgartner-SJR-2021,SV Ried,2021,AUS-Bundesliga,13,24.229,22.14145,-2.08755
Gerardo Seoane,Gerardo Seoane-BSCY-1819,BSC Young Boys,1819,SWI-Super League,28,84.60635,91,6.39365
Gerardo Seoane,Gerardo Seoane-BSCY-1920,BSC Young Boys,1920,SWI-Super League,30,78.39345,76,-2.39345
Gerardo Seoane,Gerardo Seoane-BSCY-2021,BSC Young Boys,2021,SWI-Super League,29,78.5564,84,5.4436
Gerardo Seoane,Gerardo Seoane-LEV-2122,Bayer Leverkusen,2122,GER-Bundesliga,35,51.5104,64,12.4896
Gerhard Kleppinger,Gerhard Kleppinger-SVS-2021,SV Sandhausen,2021,GER-Bundesliga 2,13,32.70445,34,1.29555
Gerhard Kleppinger,Gerhard Kleppinger-SVS-2122,SV Sandhausen,2122,GER-Bundesliga 2,6,38.9377,33.7731,-5.1646
Gerhard Schweitzer,Gerhard Schweitzer-SJR-2021,SV Ried,2021,AUS-Bundesliga,1,24.3486,24.3486,0
Gerhard Struber,Gerhard Struber-BAR-1920,Barnsley FC,1920,ENG-Championship,24,37.49855,49,11.50145
Gerhard Struber,Gerhard Struber-BAR-2021,Barnsley FC,2021,ENG-Championship,5,59.15215,53.04955,-6.1026
Gerhard Struber,Gerhard Struber-WOL-1920,Wolfsberger AC,1920,AUS-Bundesliga,13,28.1163,33.02495,4.90865
Gert Peter de Gunst,Gert Peter de Gunst-ZWO-1819,PEC Zwolle,1819,NED-Eredivisie,1,32.0728,32.0728,0
Gert Verheyen,Gert Verheyen-KVO-1819,KV Oostende,1819,BEL-First Division,20,42.9739,28.72875,-14.24515
Gery Vink,Gery Vink-WIL-2021,Willem II,2021,NED-Eredivisie,1,26.59715,26.59715,0
Ghislain Printant,Ghislain Printant-STE-1920,AS Saint-Étienne,1920,FRA-Ligue 1,8,54.87255,46.3754,-8.49715
Giacomo Gattuso,Giacomo Gattuso-COMO-2122,Calcio Como,2122,ITA-Serie B,35,46.09975,47,0.90025
Gian Piero Gasperini,Gian Piero Gasperini-ATA-1819,Atalanta,1819,ITA-Serie A,32,57.37415,69,11.62585
Gian Piero Gasperini,Gian Piero Gasperini-ATA-1920,Atalanta,1920,ITA-Serie A,35,52.7305,78,25.2695
Gian Piero Gasperini,Gian Piero Gasperini-ATA-2021,Atalanta,2021,ITA-Serie A,34,69.26365,78,8.73635
Gian Piero Gasperini,Gian Piero Gasperini-ATA-2122,Atalanta,2122,ITA-Serie A,34,71.9224,59,-12.9224
Gian Piero Ventura,Gian Piero Ventura-CVO-1819,Chievo Verona,1819,ITA-Serie A,4,25.7641,22.96195,-2.80215
Gian Piero Ventura,Gian Piero Ventura-SAL-1920,US Salernitana 1919,1920,ITA-Serie B,31,47.1007,53.1527,6.052
Gianluca Grassadonia,Gianluca Grassadonia-FOG-1819,Foggia Calcio,1819,ITA-Serie B,25,42.70015,35,-7.70015
Gianluca Grassadonia,Gianluca Grassadonia-PES-2021,Pescara Calcio,2021,ITA-Serie B,15,33.04705,32,-1.04705
Giorgio Contini,Giorgio Contini-FCL-2021,FC Lausanne-Sport,2021,SWI-Super League,29,38.6772,46,7.3228
Giorgio Contini,Giorgio Contini-GCZ-2122,Grasshopper Club Zürich,2122,SWI-Super League,32,38.4053,40,1.5947
Giovanni Stroppa,Giovanni Stroppa-CRO-1819,FC Crotone,1819,ITA-Serie B,26,55.2325,43,-12.2325
Giovanni Stroppa,Giovanni Stroppa-CRO-1920,FC Crotone,1920,ITA-Serie B,35,57.2241,68,10.7759
Giovanni Stroppa,Giovanni Stroppa-CRO-2021,FC Crotone,2021,ITA-Serie A,22,37.2576,24.4759,-12.7817
Giovanni Stroppa,Giovanni Stroppa-MON-2122,AC Monza,2122,ITA-Serie B,35,63.8291,67,3.1709
Giovanni van Bronckhorst,Giovanni van Bronckhorst-FEY-1819,Feyenoord,1819,NED-Eredivisie,29,65.7369,65,-0.7369
Giovanni van Bronckhorst,Giovanni van Bronckhorst-RANG-2122,Rangers FC,2122,SCO-premiership,23,83.4591,89,5.5409
Giuseppe Iachini,Giuseppe Iachini-EMP-1819,Empoli FC,1819,ITA-Serie A,16,36.31065,33.10955,-3.2011
Giuseppe Iachini,Giuseppe Iachini-FIO-1920,ACF Fiorentina,1920,ITA-Serie A,20,46.67325,49,2.32675
Giuseppe Iachini,Giuseppe Iachini-FIO-2021,ACF Fiorentina,2021,ITA-Serie A,16,55.16825,40,-15.16825
Giuseppe Iachini,Giuseppe Iachini-PAR-2122,Parma Calcio 1913,2122,ITA-Serie B,23,56.0741,49,-7.0741
Giuseppe Pillon,Giuseppe Pillon-COS-1920,Cosenza Calcio,1920,ITA-Serie B,5,40.70545,38.5134,-2.19205
Giuseppe Pillon,Giuseppe Pillon-PES-1819,Pescara Calcio,1819,ITA-Serie B,35,49.18315,55,5.81685
Glen De Boeck,Glen De Boeck-KSC-1819,Sporting Lokeren,1819,BEL-First Division,8,21.3593,18.54855,-2.81075
Glen De Boeck,Glen De Boeck-KVK-1819,KV Kortrijk,1819,BEL-First Division,7,40.00355,35.6158,-4.38775
Glen Riddersholm,Glen Riddersholm-SON-1819,SønderjyskE,1819,DEN-Superligaen,5,35.92305,36.53245,0.6094
Glen Riddersholm,Glen Riddersholm-SON-1920,SønderjyskE,1920,DEN-Superligaen,23,43.86595,35.53095,-8.335
Glen Riddersholm,Glen Riddersholm-SON-2021,SønderjyskE,2021,DEN-Superligaen,30,28.8292,44,15.1708
Glyn Hodges,Glyn Hodges-WIM-1920,AFC Wimbledon,1920,ENG-League One,23,45.4501,35,-10.4501
Glyn Hodges,Glyn Hodges-WIM-2021,AFC Wimbledon,2021,ENG-League One,20,48.329,43.86055,-4.46845
Gonzalo,Gonzalo-TWN-1920,FC Twente,1920,NED-Eredivisie,26,40.014,36.2661,-3.7479
Goran Djuricin,Goran Djuricin-VIE-1819,Rapid Wien,1819,AUS-Bundesliga,2,31.6793,31.98855,0.30925
Gordillo,Gordillo-GIM-1819,Gimnàstic,1819,ESP-La Liga 2,5,44.4249,39.16315,-5.26175
Gracia,Gracia-VAL-1920,Valencia CF,1920,ESP-La Liga,2,53,53,0
Gracia,Gracia-VAL-2021,Valencia CF,2021,ESP-La Liga,31,47.85235,41.5886,-6.26375
Gracia,Gracia-WAT-1819,Watford FC,1819,ENG-Premier League,34,53.58465,50,-3.58465
Gracia,Gracia-WAT-1920,Watford FC,1920,ENG-Premier League,5,43.5347,38.4526,-5.0821
Graeme Jones,Graeme Jones-LUT-1920,Luton Town,1920,ENG-Championship,29,47.16955,43.89215,-3.2774
Graeme Jones,Graeme Jones-NEW-2122,Newcastle United,2122,ENG-Premier League,4,33.4878,31.6374,-1.8504
Graeme Lee,Graeme Lee-HART-2122,Hartlepool United,2122,ENG-League Two,22,52.2559,55.28115,3.02525
Graham Alexander,Graham Alexander-MOT-2021,Motherwell FC,2021,SCO-premiership,16,38.4997,45,6.5003
Graham Alexander,Graham Alexander-MOT-2122,Motherwell FC,2122,SCO-premiership,34,43.56415,46,2.43585
Graham Alexander,Graham Alexander-SAL-1920,Salford City,1920,ENG-League Two,34,73.20255,50,-23.20255
Graham Alexander,Graham Alexander-SAL-2021,Salford City,2021,ENG-League Two,5,85.43135,88.1725,2.74115
Graham Coughlan,Graham Coughlan-BRI-1819,Bristol Rovers,1819,ENG-League One,24,43.9957,54,10.0043
Graham Coughlan,Graham Coughlan-BRI-1920,Bristol Rovers,1920,ENG-League One,19,57.80185,67.60535,9.8035
Graham Coughlan,Graham Coughlan-MANS-1920,Mansfield Town,1920,ENG-League Two,15,56.24585,38,-18.24585
Graham Coughlan,Graham Coughlan-MANS-2021,Mansfield Town,2021,ENG-League Two,8,66.9522,52.38335,-14.56885
Graham Potter,Graham Potter-BHA-1819,Brighton & Hove Albion,1819,ENG-Premier League,2,36,36,0
Graham Potter,Graham Potter-BHA-1920,Brighton & Hove Albion,1920,ENG-Premier League,41,36.61235,41,4.38765
Graham Potter,Graham Potter-BHA-2021,Brighton & Hove Albion,2021,ENG-Premier League,36,42.92225,41,-1.92225
Graham Potter,Graham Potter-BHA-2122,Brighton & Hove Albion,2122,ENG-Premier League,38,50.8661,51,0.1339
Graham Potter,Graham Potter-SWA-1819,Swansea City,1819,ENG-Championship,33,66.9344,65,-1.9344
Graham Westley,Graham Westley-STEV-1920,Stevenage FC,1920,ENG-League Two,8,44.354,36.06865,-8.28535
Grant McCann,Grant McCann-DON-1819,Doncaster Rovers,1819,ENG-League One,34,75.50595,73,-2.50595
Grant McCann,Grant McCann-HCY-1920,Hull City,1920,ENG-Championship,37,58.0811,45,-13.0811
Grant McCann,Grant McCann-HCY-2021,Hull City,2021,ENG-League One,37,88.12125,89,0.87875
Grant McCann,Grant McCann-HCY-2122,Hull City,2122,ENG-Championship,22,55.3333,48.4643,-6.869
Grant McCann,Grant McCann-PET-2122,Peterborough United,2122,ENG-Championship,12,30.63295,37,6.36705
Gregoire Vanderidt,Gregoire Vanderidt-KFCO-2122,K Beerschot VA,2122,BEL-First Division,8,19.9867,16.29345,-3.69325
Guerino Capretti,Guerino Capretti-DRES-2122,Dynamo Dresden,2122,GER-Bundesliga 2,10,36.44275,32,-4.44275
Guillermo Abascal,Guillermo Abascal-ASC-1920,Ascoli Calcio,1920,ITA-Serie B,1,41.3584,41.3584,0
Guillermo Abascal,Guillermo Abascal-BAS-2122,FC Basel,2122,SWI-Super League,12,63.0647,62,-1.0647
Guillermo Abascal,Guillermo Abascal-FCL-1819,FC Lugano,1819,SWI-Super League,2,43.2763,40.74185,-2.53445
Gustavo Munúa,Gustavo Munúa-COP-1819,FC Cartagena,1819,DEN-Superligaen,27,73.0368,82,8.9632
Gustavo Munúa,Gustavo Munúa-COP-1920,FC Cartagena,1920,DEN-Superligaen,17,79.2702,75.47485,-3.79535
Guti,Guti-ALM-1920,UD Almería,1920,ESP-La Liga 2,20,67.4018,69.3407,1.9389
Gérald Baticle,Gérald Baticle-ANG-2122,Angers SCO,2122,FRA-Ligue 1,36,47.7308,41,-6.7308
Günther Neukirchner,Günther Neukirchner-SSG-1819,Sturm Graz,1819,AUS-Bundesliga,8,30.92915,27.6775,-3.25165
Hakan Ertürk,Hakan Ertürk-KAY-1819,Kayserispor,1819,TUR-Super Lig,1,26.89135,26.89135,0
Hakan Keleş,Hakan Keleş-GIR-2122,Giresunspor,2122,TUR-Super Lig,36,39.4355,45,5.5645
Hakan Keleş,Hakan Keleş-SIV-1819,Sivasspor,1819,TUR-Super Lig,23,39.8792,41,1.1208
Hakan Kutlu,Hakan Kutlu-DZL-2021,Denizlispor,2021,TUR-Super Lig,10,34.8532,33.9455,-0.9077
Hakan Kutlu,Hakan Kutlu-KAS-2122,Kasımpaşa SK,2122,TUR-Super Lig,7,39.3738,36.3765,-2.9973
Hakan Çalışkan,Hakan Çalışkan-MAL-1819,Yeni Malatyaspor,1819,TUR-Super Lig,1,47.1312,47.1312,0
Hakan Çalışkan,Hakan Çalışkan-MAL-2021,Yeni Malatyaspor,2021,TUR-Super Lig,3,48.4504,44.9998,-3.4506
Hamza Hamzaoğlu,Hamza Hamzaoğlu-CAY-2122,Çaykur Rizespor,2122,TUR-Super Lig,17,29.6987,34.9,5.2013
Hamza Hamzaoğlu,Hamza Hamzaoğlu-ERZ-1819,BB Erzurumspor,1819,TUR-Super Lig,10,33.3465,35,1.6535
Hamza Hamzaoğlu,Hamza Hamzaoğlu-GEN-1920,Gençlerbirliği,1920,TUR-Super Lig,25,32.73765,36,3.26235
Hamza Hamzaoğlu,Hamza Hamzaoğlu-KAY-2021,Kayserispor,2021,TUR-Super Lig,4,42.80235,40.8227,-1.97965
Hamza Hamzaoğlu,Hamza Hamzaoğlu-MAL-2021,Yeni Malatyaspor,2021,TUR-Super Lig,22,47.25055,50.23965,2.9891
Hannes Wolf,Hannes Wolf-GENK-1920,KRC Genk,1920,BEL-First Division,14,46.1887,45.97245,-0.21625
Hannes Wolf,Hannes Wolf-GENK-2021,KRC Genk,2021,BEL-First Division,3,58.41165,52.05065,-6.361
Hannes Wolf,Hannes Wolf-HSV-1819,Hamburger SV,1819,GER-Bundesliga 2,24,58.01715,56,-2.01715
Hannes Wolf,Hannes Wolf-LEV-2021,Bayer Leverkusen,2021,GER-Bundesliga,8,52.51855,52,-0.51855
Hans Eklund,Hans Eklund-FAL-1920,Falkenbergs FF,1920,SWE-Allvenskan,34,26.41735,25,-1.41735
Hans Eklund,Hans Eklund-FAL-2021,Falkenbergs FF,2021,SWE-Allvenskan,25,24.3931,24,-0.3931
Hans de Koning,Hans de Koning-VVV-1920,VVV-Venlo,1920,NED-Eredivisie,8,29.236,34.8208,5.5848
Hans de Koning,Hans de Koning-VVV-2021,VVV-Venlo,2021,NED-Eredivisie,25,34.36125,29.3081,-5.05315
Hansi Flick,Hansi Flick-BMU-1920,Bayern München,1920,GER-Bundesliga,26,72.91425,82,9.08575
Hansi Flick,Hansi Flick-BMU-2021,Bayern München,2021,GER-Bundesliga,33,83.5965,78,-5.5965
Harry Kewell,Harry Kewell-NOTT-1819,Notts County,1819,ENG-League Two,7,43.55835,47.0935,3.53515
Harry Kewell,Harry Kewell-OLD-2021,Oldham Athletic,2021,ENG-League Two,25,74.48525,59.5203,-14.96495
Hayden Mullins,Hayden Mullins-COL-2021,Colchester United,2021,ENG-League Two,8,47.5508,51,3.4492
Hayden Mullins,Hayden Mullins-COL-2122,Colchester United,2122,ENG-League Two,23,74.72685,48.07085,-26.656
Hayden Mullins,Hayden Mullins-WAT-1920,Watford FC,1920,ENG-Premier League,3,32.3085,34,1.6915
Heiko Butscher,Heiko Butscher-BOC-1920,VfL Bochum,1920,GER-Bundesliga 2,2,40.91765,40.38385,-0.5338
Heiko Herrlich,Heiko Herrlich-AUG-1920,FC Augsburg,1920,GER-Bundesliga,12,38.23995,36,-2.23995
Heiko Herrlich,Heiko Herrlich-AUG-2021,FC Augsburg,2021,GER-Bundesliga,29,36.90995,35.66745,-1.2425
Heiko Herrlich,Heiko Herrlich-LEV-1819,Bayer Leverkusen,1819,GER-Bundesliga,12,48.9905,49.24705,0.25655
Heiko Scholz,Heiko Scholz-DRES-1920,Dynamo Dresden,1920,GER-Bundesliga 2,1,33.32365,33.32365,0
Hein Vanhaezebrouck,Hein Vanhaezebrouck-GENT-2021,KAA Gent,2021,BEL-First Division,18,44.0764,47.4636,3.3872
Hein Vanhaezebrouck,Hein Vanhaezebrouck-GENT-2122,KAA Gent,2122,BEL-First Division,29,51.5665,61.1875,9.621
Hein Vanhaezebrouck,Hein Vanhaezebrouck-RSCA-1819,RSC Anderlecht,1819,BEL-First Division,11,58.1409,47.4148,-10.7261
Henk de Jong,Henk de Jong-CAM-2122,SC Cambuur,2122,NED-Eredivisie,14,38.12435,42.43415,4.3098
Henk de Jong,Henk de Jong-GRF-1819,De Graafschap,1819,NED-Eredivisie,29,32.95465,29,-3.95465
Henning Berg,Henning Berg-STA-1819,Stabæk IF,1819,NOR-Eliteserien,10,31.28455,29,-2.28455
Henning Berg,Henning Berg-STA-1920,Stabæk IF,1920,NOR-Eliteserien,10,35.1475,31.36115,-3.78635
