name,coach_id,team,season,league,last_updated,expectation,result,difference
Pepe Mel,Pepe Mel-MGA-2223,Málaga CF,2223,ESP-La Liga 2,7,45.0973,41.4597,-3.637599999999999
Pepe Mel,Pepe Mel-PAL-1819,UD Las Palmas,1819,ESP-La Liga 2,16,57.40755,54.0,-3.4075500000000005
Pepe Mel,Pepe Mel-PAL-1920,UD Las Palmas,1920,ESP-La Liga 2,40,56.36575,57.0,0.6342500000000015
Pepe Mel,Pepe Mel-PAL-2021,UD Las Palmas,2021,ESP-La Liga 2,40,58.75175,56.0,-2.7517500000000013
Pepe Mel,Pepe Mel-PAL-2122,UD Las Palmas,2122,ESP-La Liga 2,23,54.98795,63.162,8.174050000000001
Per Joar Hansen,Per Joar Hansen-OFK-2122,Östersunds FK,2122,SWE-Allvenskan,11,18.528,14.0,-4.527999999999999
Per-Mathias Høgmo,Per-Mathias Høgmo-BKH-2122,BK Häcken,2122,SWE-Allvenskan,20,40.75575,36.0,-4.755749999999999
Per-Mathias Høgmo,Per-Mathias Høgmo-BKH-2223,BK Häcken,2223,SWE-Allvenskan,29,43.18585,64.0,20.814149999999998
Per-Ola Ljung,Per-Ola Ljung-HEL-1920,Helsingborgs IF,1920,SWE-Allvenskan,11,37.60285,28.7898,-8.813049999999997
Pete Wild,Pete Wild-BRW-2223,Barrow AFC,2223,ENG-League Two,17,54.10485,69.00605,14.901200000000003
Pete Wild,Pete Wild-OLD-1819,Oldham Athletic,1819,ENG-League Two,17,70.4633,62.0,-8.463300000000004
Peter Bosz,Peter Bosz-LEV-1819,Bayer Leverkusen,1819,GER-Bundesliga,18,50.10525,58.0,7.894750000000002
Peter Bosz,Peter Bosz-LEV-1920,Bayer Leverkusen,1920,GER-Bundesliga,36,61.8495,63.0,1.150500000000001
Peter Bosz,Peter Bosz-LEV-2021,Bayer Leverkusen,2021,GER-Bundesliga,25,54.6956,52.49505,-2.20055
Peter Bosz,Peter Bosz-LYON-2122,Olympique Lyon,2122,FRA-Ligue 1,36,66.1507,62.0,-4.1507000000000005
Peter Bosz,Peter Bosz-LYON-2223,Olympique Lyon,2223,FRA-Ligue 1,9,64.64125,62.7557,-1.885550000000002
Peter Maes,Peter Maes-KFCO-2122,K Beerschot VA,2122,BEL-First Division,4,33.0983,30.07435,-3.023950000000003
Peter Maes,Peter Maes-STVV-2021,Sint-Truidense VV,2021,BEL-First Division,18,31.65295,39.0037,7.3507500000000014
